2021-12-02 03:39:38 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2021-12-02 03:39:38 install libssh2-1:amd64 <none> 1.9.0-2
2021-12-02 03:39:38 status half-installed libssh2-1:amd64 1.9.0-2
2021-12-02 03:39:38 status unpacked libssh2-1:amd64 1.9.0-2
2021-12-02 03:39:38 install libcurl4:amd64 <none> 7.74.0-1.3+b1
2021-12-02 03:39:38 status half-installed libcurl4:amd64 7.74.0-1.3+b1
2021-12-02 03:39:38 status unpacked libcurl4:amd64 7.74.0-1.3+b1
2021-12-02 03:39:38 install curl:amd64 <none> 7.74.0-1.3+b1
2021-12-02 03:39:38 status half-installed curl:amd64 7.74.0-1.3+b1
2021-12-02 03:39:38 status unpacked curl:amd64 7.74.0-1.3+b1
2021-12-02 03:39:38 startup packages configure
2021-12-02 03:39:38 configure libpsl5:amd64 0.21.0-1.2 <none>
2021-12-02 03:39:38 status unpacked libpsl5:amd64 0.21.0-1.2
2021-12-02 03:39:38 status half-configured libpsl5:amd64 0.21.0-1.2
2021-12-02 03:39:38 status installed libpsl5:amd64 0.21.0-1.2
2021-12-02 03:39:38 configure wget:amd64 1.21-1+b1 <none>
2021-12-02 03:39:38 status unpacked wget:amd64 1.21-1+b1
2021-12-02 03:39:38 status half-configured wget:amd64 1.21-1+b1
2021-12-02 03:39:38 status installed wget:amd64 1.21-1+b1
2021-12-02 03:39:38 configure libbrotli1:amd64 1.0.9-2+b2 <none>
2021-12-02 03:39:38 status unpacked libbrotli1:amd64 1.0.9-2+b2
2021-12-02 03:39:38 status half-configured libbrotli1:amd64 1.0.9-2+b2
2021-12-02 03:39:38 status installed libbrotli1:amd64 1.0.9-2+b2
2021-12-02 03:39:38 configure libnghttp2-14:amd64 1.43.0-1 <none>
2021-12-02 03:39:38 status unpacked libnghttp2-14:amd64 1.43.0-1
2021-12-02 03:39:38 status half-configured libnghttp2-14:amd64 1.43.0-1
2021-12-02 03:39:38 status installed libnghttp2-14:amd64 1.43.0-1
2021-12-02 03:39:38 configure libsasl2-modules-db:amd64 2.1.27+dfsg-2.1 <none>
2021-12-02 03:39:38 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-2.1
2021-12-02 03:39:38 status half-configured libsasl2-modules-db:amd64 2.1.27+dfsg-2.1
2021-12-02 03:39:38 status installed libsasl2-modules-db:amd64 2.1.27+dfsg-2.1
2021-12-02 03:39:38 configure librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2 <none>
2021-12-02 03:39:38 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2021-12-02 03:39:38 status half-configured librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
